WigleWifi-1.6,appRelease=v1.16,model=M5Stack GPS Unit,release=v1.16,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
34:98:B5:FB:73:47,"WiFi-B818-5G",[WPA2_PSK],2026-08-08 06:49:57,2,2417,-76,-33.398364,151.349402,30.680000,1.700000,,,WIFI
CC:6C:52:0B:EE:5E,"Aussie Broadband 3228",[WPA2_PSK],2026-08-08 06:49:57,6,2437,-76,-33.398364,151.349402,30.680000,1.700000,,,WIFI
0A:C7:F5:E5:92:7F,"TelstraE59277",[WPA2_PSK],2026-08-08 06:49:57,1,2412,-80,-33.398364,151.349402,30.680000,1.700000,,,WIFI
9A:A6:7E:74:F2:AC,"ORBI46",[WPA2_PSK],2026-08-08 06:49:57,3,2422,-81,-33.398364,151.349402,30.680000,1.700000,,,WIFI
DC:F5:1B:13:1F:AB,"OPTUS_131FA8N",[WPA2_WPA3_PSK],2026-08-08 06:49:57,1,2412,-82,-33.398364,151.349402,30.680000,1.700000,,,WIFI
D8:D7:75:23:AC:97,"Telstra23AC91",[WPA2_PSK],2026-08-08 06:49:57,8,2447,-83,-33.398364,151.349402,30.680000,1.700000,,,WIFI
76:FE:CE:B9:FA:79,"WiFi-B818",[WPA2_PSK],2026-08-08 06:49:57,4,2427,-85,-33.398364,151.349402,30.680000,1.700000,,,WIFI
D0:DB:B7:BE:66:36,"not as fly for a wifi",[WPA2_WPA3_PSK],2026-08-08 06:49:57,1,2412,-88,-33.398364,151.349402,30.680000,1.700000,,,WIFI
D0:DB:B7:C3:2E:80,"NetComm 2.4",[WPA2_PSK],2026-08-08 06:49:57,6,2437,-89,-33.398364,151.349402,30.680000,1.700000,,,WIFI
32:DE:4B:B3:3E:89,"Warp1",[WPA2_PSK],2026-08-08 06:49:57,2,2417,-90,-33.398364,151.349402,30.680000,1.700000,,,WIFI
34:98:B5:FB:07:5D,"WiFi-B818-5G",[WPA2_PSK],2026-08-08 06:49:57,2,2417,-90,-33.398364,151.349402,30.680000,1.700000,,,WIFI
26:23:51:23:69:6A,"WiFi-236969",[WPA2_PSK],2026-08-08 06:49:57,2,2417,-90,-33.398364,151.349402,30.680000,1.700000,,,WIFI
10:13:31:24:69:41,"Telstra246941",[WPA2_PSK],2026-08-08 06:49:57,6,2437,-90,-33.398364,151.349402,30.680000,1.700000,,,WIFI
FC:9C:98:ED:01:84,"ARLO_VMB_9558321999",[WPA2_PSK],2026-08-08 06:49:57,11,2462,-90,-33.398364,151.349402,30.680000,1.700000,,,WIFI
A4:11:62:D5:8E:61,"ARLO_VMB_2319127233",[WPA2_PSK],2026-08-08 06:49:57,11,2462,-90,-33.398364,151.349402,30.680000,1.700000,,,WIFI
24:4B:FE:AB:1F:C0,"ASIO Surveillance Van",[WPA2_PSK],2026-08-08 06:49:57,4,2427,-91,-33.398364,151.349402,30.680000,1.700000,,,WIFI
4C:22:F3:4F:50:AB,"OPTUS_4F50A8N",[WPA2_WPA3_PSK],2026-08-08 06:49:57,6,2437,-91,-33.398364,151.349402,30.680000,1.700000,,,WIFI
C4:EA:1D:A6:EC:6B,"TelstraA6EC6B",[WPA2_PSK],2026-08-08 06:49:57,6,2437,-91,-33.398364,151.349402,30.680000,1.700000,,,WIFI
62:D8:A4:01:16:9B,"Telstra011693",[WPA2_PSK],2026-08-08 06:49:57,1,2412,-92,-33.398364,151.349402,30.680000,1.700000,,,WIFI
44:AD:B1:DD:5E:D3,"Optus_DD5ED1",[WPA2_PSK],2026-08-08 06:49:57,11,2462,-92,-33.398364,151.349402,30.680000,1.700000,,,WIFI
F8:5E:3C:99:D9:6E,"Bits that Byte",[WPA_WPA2_PSK],2026-08-08 06:49:57,11,2462,-92,-33.398364,151.349402,30.680000,1.700000,,,WIFI
5C:E9:31:A8:42:97,"TP-Link_4297",[WPA2_PSK],2026-08-08 06:49:57,11,2462,-93,-33.398364,151.349402,30.680000,1.700000,,,WIFI
20:B0:01:B0:EE:07,"Vodafone2.4G-0EE06",[WPA2_PSK],2026-08-08 06:49:57,12,2467,-96,-33.398364,151.349402,30.680000,1.700000,,,WIFI
6a:1f:95:f0:b7:53,"",Misc [BLE],2026-08-08 06:49:57,0,,-94,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
77:ff:3a:db:a8:b0,"",Misc [BLE],2026-08-08 06:49:57,0,,-73,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
48:c8:01:4a:5a:23,"",Misc [BLE],2026-08-08 06:49:57,0,,-94,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
5c:bf:71:ce:d7:77,"",Misc [BLE],2026-08-08 06:49:57,0,,-95,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
1d:56:23:96:df:f3,"",Misc [BLE],2026-08-08 06:49:57,0,,-91,-33.398364,151.349402,30.680000,1.700000,,0006,BLE
78:c8:a5:4f:c4:53,"",Misc [BLE],2026-08-08 06:49:57,0,,-93,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
4d:b5:bc:fb:00:a1,"",Misc [BLE],2026-08-08 06:49:57,0,,-98,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
16:ea:98:2e:0b:4a,"",Misc [BLE],2026-08-08 06:49:57,0,,-92,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
d4:55:28:46:7b:59,"",Misc [BLE],2026-08-08 06:49:57,0,,-95,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
74:6b:e6:b3:c1:df,"",Misc [BLE],2026-08-08 06:49:57,0,,-92,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
fc:3c:d7:4e:65:f3,"TY",Misc [BLE],2026-08-08 06:49:57,0,,-90,-33.398364,151.349402,30.680000,1.700000,,07D0,BLE
f8:90:a0:d1:e3:56,"",Misc [BLE],2026-08-08 06:49:57,0,,-49,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
69:46:ba:20:fc:0a,"",Misc [BLE],2026-08-08 06:49:57,0,,-48,-33.398364,151.349402,30.680000,1.700000,,004C,BLE
