WigleWifi-1.6,appRelease=v1.16,model=M5Stack GPS Unit,release=v1.16,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
CC:64:1A:50:8C:16,"GKU-D600-508c16",[WPA2_PSK],2026-08-08 06:51:21,11,2462,-91,-33.404335,151.350649,14.850000,1.100000,,,WIFI
08:02:8E:EF:05:41,"superdollar",[WPA2_PSK],2026-08-08 06:51:21,11,2462,-91,-33.404335,151.350649,14.850000,1.100000,,,WIFI
54:F8:2A:D4:EA:05,"MTD4740099543699C75E100D6F00",[WPA2_PSK],2026-08-08 06:51:21,6,2437,-95,-33.404335,151.350649,14.850000,1.100000,,,WIFI
F8:5E:3C:0D:68:26,"SphereWiFi-6828",[WPA_WPA2_PSK],2026-08-08 06:51:26,1,2412,-81,-33.404888,151.350931,16.350000,1.100000,,,WIFI
18:9C:5D:6C:0C:B0,"HC-INT",[WPA2_ENTERPRISE],2026-08-08 06:51:26,6,2437,-85,-33.404888,151.350931,16.350000,1.100000,,,WIFI
D8:38:0D:6C:71:29,"The Select Inn Gosford",[WPA2_PSK],2026-08-08 06:51:26,1,2412,-86,-33.404888,151.350931,16.350000,1.100000,,,WIFI
D8:38:0D:6C:71:51,"The Select Inn Gosford",[WPA2_PSK],2026-08-08 06:51:26,11,2462,-87,-33.404888,151.350931,16.350000,1.100000,,,WIFI
CC:40:D0:2A:C3:C5,"Telstra5F24",[WPA2_PSK],2026-08-08 06:51:26,1,2412,-88,-33.404888,151.350931,16.350000,1.100000,,,WIFI
4E:D5:ED:E5:3D:06,"TelstraE53D06",[WPA2_WPA3_PSK],2026-08-08 06:51:26,6,2437,-88,-33.404888,151.350931,16.350000,1.100000,,,WIFI
FE:55:A8:08:E3:36,"mc-contractor",[OPEN],2026-08-08 06:51:26,11,2462,-88,-33.404888,151.350931,16.350000,1.100000,,,WIFI
48:41:7B:A4:4D:6B,"NOKIA-4D60",[WPA2_WPA3_PSK],2026-08-08 06:51:26,11,2462,-89,-33.404888,151.350931,16.350000,1.100000,,,WIFI
D8:38:0D:6C:30:99,"The Select Inn Gosford",[WPA2_PSK],2026-08-08 06:51:26,1,2412,-90,-33.404888,151.350931,16.350000,1.100000,,,WIFI
DC:EA:E7:26:94:48,"Mal Volentum",[WPA_WPA2_PSK],2026-08-08 06:51:26,1,2412,-92,-33.404888,151.350931,16.350000,1.100000,,,WIFI
D6:35:1D:E2:4B:A5,"TelstraE24B9D",[WPA2_WPA3_PSK],2026-08-08 06:51:26,6,2437,-92,-33.404888,151.350931,16.350000,1.100000,,,WIFI
A0:63:91:09:3D:B4,"NETGEAR63",[WPA2_PSK],2026-08-08 06:51:26,1,2412,-93,-33.404888,151.350931,16.350000,1.100000,,,WIFI
D8:38:0D:6C:72:49,"The Select Inn Gosford",[WPA2_PSK],2026-08-08 06:51:26,1,2412,-93,-33.404888,151.350931,16.350000,1.100000,,,WIFI
36:FA:40:25:77:D1,"CHANGE THIS NAME",[WPA2_PSK],2026-08-08 06:51:34,6,2437,-81,-33.405872,151.351207,16.560000,1.100000,,,WIFI
6C:15:DB:7F:7B:8E,"WIFI-S2ADY9F",[WPA2_WPA3_PSK],2026-08-08 06:51:34,13,2472,-82,-33.405872,151.351207,16.560000,1.100000,,,WIFI
D8:38:0D:35:9C:01,"The Select Inn Gosford",[WPA2_PSK],2026-08-08 06:51:34,10,2457,-85,-33.405872,151.351207,16.560000,1.100000,,,WIFI
24:2F:D0:08:78:D0,"WiFi-0878D0",[WPA2_PSK],2026-08-08 06:51:34,10,2457,-91,-33.405872,151.351207,16.560000,1.100000,,,WIFI
D4:20:B0:38:BA:35,"RetailInternetBusiness",[WPA2_PSK],2026-08-08 06:51:34,11,2462,-93,-33.405872,151.351207,16.560000,1.100000,,,WIFI
10:13:31:DF:A6:75,"TelstraDFA675",[WPA2_PSK],2026-08-08 06:51:34,11,2462,-93,-33.405872,151.351207,16.560000,1.100000,,,WIFI
D4:20:B0:38:BA:36,"BP_Public_WiFi",[OPEN],2026-08-08 06:51:34,11,2462,-93,-33.405872,151.351207,16.560000,1.100000,,,WIFI
D4:20:B0:38:BA:92,"RetailInternetBusiness",[WPA2_PSK],2026-08-08 06:51:42,1,2412,-76,-33.406958,151.351048,12.550000,1.100000,,,WIFI
A4:91:B1:64:2C:21,"Telstra642C21",[WPA2_PSK],2026-08-08 06:51:42,13,2472,-78,-33.406958,151.351048,12.550000,1.100000,,,WIFI
D4:20:B0:38:BA:93,"BP_Public_WiFi",[OPEN],2026-08-08 06:51:42,1,2412,-79,-33.406958,151.351048,12.550000,1.100000,,,WIFI
8C:77:79:42:86:BB,"OPTUS_4286B8N",[WPA2_WPA3_PSK],2026-08-08 06:51:42,1,2412,-83,-33.406958,151.351048,12.550000,1.100000,,,WIFI
F0:7B:65:F4:72:46,"WiFi-XXYW2",[WPA2_WPA3_PSK],2026-08-08 06:51:42,11,2462,-83,-33.406958,151.351048,12.550000,1.100000,,,WIFI
74:FE:CE:AA:F1:72,"TP-Link_F172",[WPA2_PSK],2026-08-08 06:51:42,7,2442,-85,-33.406958,151.351048,12.550000,1.100000,,,WIFI
34:6B:46:A3:3A:80,"Oliver!",[WPA2_PSK],2026-08-08 06:51:42,11,2462,-87,-33.406958,151.351048,12.550000,1.100000,,,WIFI
D0:DB:B7:61:5C:B7,"NetComm 7922",[WPA2_WPA3_PSK],2026-08-08 06:51:42,1,2412,-90,-33.406958,151.351048,12.550000,1.100000,,,WIFI
1C:E8:9E:93:D6:9E,"Samsung Fridge_E50AJTRR255W",[WPA2_PSK],2026-08-08 06:51:42,1,2412,-91,-33.406958,151.351048,12.550000,1.100000,,,WIFI
D0:DB:B7:CD:77:2F,"Wiseberry",[WPA2_WPA3_PSK],2026-08-08 06:51:50,11,2462,-72,-33.407937,151.350820,11.770000,1.100000,,,WIFI
36:87:BA:A6:82:54,"WiFi-A68253",[WPA2_PSK],2026-08-08 06:51:50,2,2417,-78,-33.407937,151.350820,11.770000,1.100000,,,WIFI
B2:19:21:41:1F:AE,"SupportCentralCo Akora",[WPA2_WPA3_PSK],2026-08-08 06:51:50,9,2452,-79,-33.407937,151.350820,11.770000,1.100000,,,WIFI
B2:19:21:41:1E:E6,"SupportCentralCo Akora",[WPA2_WPA3_PSK],2026-08-08 06:51:50,9,2452,-82,-33.407937,151.350820,11.770000,1.100000,,,WIFI
2A:60:F9:81:2D:AE,"VX220-2DAD",[WPA2_PSK],2026-08-08 06:51:50,6,2437,-83,-33.407937,151.350820,11.770000,1.100000,,,WIFI
B2:19:21:21:1E:E6,"SupportCentralCo (Akora Staff)",[WPA2_PSK],2026-08-08 06:51:50,9,2452,-84,-33.407937,151.350820,11.770000,1.100000,,,WIFI
B2:19:21:21:20:32,"SupportCentralCo (Akora Staff)",[WPA2_PSK],2026-08-08 06:51:50,9,2452,-85,-33.407937,151.350820,11.770000,1.100000,,,WIFI
B2:19:21:41:20:32,"SupportCentralCo Akora",[WPA2_WPA3_PSK],2026-08-08 06:51:50,9,2452,-85,-33.407937,151.350820,11.770000,1.100000,,,WIFI
A4:91:B1:7E:7D:1C,"Telstra7E7D1C",[WPA2_PSK],2026-08-08 06:51:50,11,2462,-85,-33.407937,151.350820,11.770000,1.100000,,,WIFI
B2:19:21:21:1F:AE,"SupportCentralCo (Akora Staff)",[WPA2_PSK],2026-08-08 06:51:50,9,2452,-86,-33.407937,151.350820,11.770000,1.100000,,,WIFI
32:3C:20:25:DC:F6,"Telstra25DCF6",[WPA2_WPA3_PSK],2026-08-08 06:51:50,1,2412,-89,-33.407937,151.350820,11.770000,1.100000,,,WIFI
BC:30:D9:BE:E8:A6,"TelstraBEE8A4",[WPA2_PSK],2026-08-08 06:51:50,9,2452,-89,-33.407937,151.350820,11.770000,1.100000,,,WIFI
38:06:E6:04:C7:7B,"OPTUS_04C778N",[WPA2_WPA3_PSK],2026-08-08 06:51:50,11,2462,-90,-33.407937,151.350820,11.770000,1.100000,,,WIFI
46:27:45:AE:BF:70,"[LG_StickVacuum]bf70",[WPA2_PSK],2026-08-08 06:51:50,11,2462,-91,-33.407937,151.350820,11.770000,1.100000,,,WIFI
A2:B5:3C:25:26:5E,"Telstra252656",[WPA2_PSK],2026-08-08 06:51:50,1,2412,-93,-33.407937,151.350820,11.770000,1.100000,,,WIFI
D8:33:B7:E2:C4:B6,"WiFi-ZCPWS",[WPA2_WPA3_PSK],2026-08-08 06:51:50,11,2462,-93,-33.407937,151.350820,11.770000,1.100000,,,WIFI
D0:DB:B7:A3:25:4A,"NetComm 4556",[WPA2_PSK],2026-08-08 06:51:50,12,2467,-93,-33.407937,151.350820,11.770000,1.100000,,,WIFI
DA:D8:E5:4F:30:99,"Telstra4F3091",[WPA2_PSK],2026-08-08 06:51:58,1,2412,-85,-33.408419,151.350658,10.760000,1.100000,,,WIFI
CE:BA:BD:17:9C:71,"Poolwerx Wyoming",[WPA2_WPA3_PSK],2026-08-08 06:51:58,1,2412,-86,-33.408419,151.350658,10.760000,1.100000,,,WIFI
10:DA:43:F0:C1:C2,"GMS Costumes",[WPA2_PSK],2026-08-08 06:51:58,1,2412,-87,-33.408419,151.350658,10.760000,1.100000,,,WIFI
D6:92:5E:D2:FA:08,"TelstraD2FA00",[WPA2_PSK],2026-08-08 06:51:58,1,2412,-87,-33.408419,151.350658,10.760000,1.100000,,,WIFI
74:08:DE:0A:6E:44,"ING2.4G_234HKD055890",[WPA2_PSK],2026-08-08 06:51:58,11,2462,-87,-33.408419,151.350658,10.760000,1.100000,,,WIFI
10:13:31:D8:A3:0B,"TelstraD8A30B",[WPA2_PSK],2026-08-08 06:51:58,1,2412,-88,-33.408419,151.350658,10.760000,1.100000,,,WIFI
B4:E8:42:29:D8:9A,"LEDnet003329D89A",[OPEN],2026-08-08 06:51:58,8,2447,-90,-33.408419,151.350658,10.760000,1.100000,,,WIFI
D8:B3:70:A7:3B:F0,"THGOS",[WPA2_PSK],2026-08-08 06:51:58,6,2437,-91,-33.408419,151.350658,10.760000,1.100000,,,WIFI
08:36:C9:00:B4:B5,"Telstra0D8F",[WPA2_PSK],2026-08-08 06:51:58,11,2462,-91,-33.408419,151.350658,10.760000,1.100000,,,WIFI
56:07:7D:F3:7B:D8,"NETGEAR93",[WPA2_WPA3_PSK],2026-08-08 06:51:58,2,2417,-92,-33.408419,151.350658,10.760000,1.100000,,,WIFI
B0:92:4A:AF:C2:FC,"OPTUS_AFC2FAM",[WPA2_WPA3_PSK],2026-08-08 06:51:58,6,2437,-93,-33.408419,151.350658,10.760000,1.100000,,,WIFI
24:94:94:D9:68:27,"LEDnet0033D96827",[OPEN],2026-08-08 06:51:58,10,2457,-93,-33.408419,151.350658,10.760000,1.100000,,,WIFI
74:08:DE:0A:6D:C2,"ING2.4G_234HKD055760",[WPA2_PSK],2026-08-08 06:51:58,11,2462,-93,-33.408419,151.350658,10.760000,1.100000,,,WIFI
D4:E5:C9:07:08:AD,"velocloud-049",[WPA2_PSK],2026-08-08 06:52:07,11,2462,-80,-33.408791,151.350437,16.110000,1.100000,,,WIFI
3E:56:FE:C8:C0:7C,"Ampol Free Wifi",[OPEN],2026-08-08 06:52:07,1,2412,-81,-33.408791,151.350437,16.110000,1.100000,,,WIFI
D4:AD:20:BB:6A:A7,"SIGN-NSW05",[WPA2_PSK],2026-08-08 06:52:07,2,2417,-81,-33.408791,151.350437,16.110000,1.100000,,,WIFI
32:56:FE:C8:C0:7C,"TIPT",[WPA2_PSK],2026-08-08 06:52:07,1,2412,-82,-33.408791,151.350437,16.110000,1.100000,,,WIFI
3A:56:FE:C8:C0:7C,"Amplify",[WPA2_PSK],2026-08-08 06:52:07,1,2412,-83,-33.408791,151.350437,16.110000,1.100000,,,WIFI
34:56:FE:C8:C0:7C,"PENGUIN",[WPA_WPA2_PSK],2026-08-08 06:52:07,1,2412,-84,-33.408791,151.350437,16.110000,1.100000,,,WIFI
84:F7:03:77:07:19,"WF1_1996746627",[WPA_WPA2_PSK],2026-08-08 06:52:07,1,2412,-85,-33.408791,151.350437,16.110000,1.100000,,,WIFI
28:9C:6E:9C:2E:09,"HN_EP05160386093PBKME-00285",[WPA2_PSK],2026-08-08 06:52:07,2,2417,-85,-33.408791,151.350437,16.110000,1.100000,,,WIFI
08:27:A8:AF:3B:8A,"WIFI-5NU2D9N",[WPA2_WPA3_PSK],2026-08-08 06:52:07,13,2472,-85,-33.408791,151.350437,16.110000,1.100000,,,WIFI
78:65:59:45:28:02,"OPTUS_4527FF",[WPA2_PSK],2026-08-08 06:52:07,1,2412,-86,-33.408791,151.350437,16.110000,1.100000,,,WIFI
3C:58:5D:C1:11:C0,"OPTUS_C111BEM",[WPA2_WPA3_PSK],2026-08-08 06:52:07,1,2412,-87,-33.408791,151.350437,16.110000,1.100000,,,WIFI
FC:9C:98:7D:AF:1A,"ARLO_VMB_2239363768",[WPA2_PSK],2026-08-08 06:52:07,7,2442,-89,-33.408791,151.350437,16.110000,1.100000,,,WIFI
80:2D:1A:52:AB:7E,"DODO-FAST-2.4G",[WPA2_PSK],2026-08-08 06:52:07,5,2432,-91,-33.408791,151.350437,16.110000,1.100000,,,WIFI
78:8A:20:5A:D1:78,"LST",[WPA2_PSK],2026-08-08 06:52:07,1,2412,-93,-33.408791,151.350437,16.110000,1.100000,,,WIFI
2C:E3:8E:A6:1E:81,"apx_rad",[WPA2_WPA3_PSK],2026-08-08 06:52:16,1,2412,-78,-33.409689,151.350346,17.070000,1.000000,,,WIFI
2C:E3:8E:A6:1E:82,"FRNSW",[OPEN],2026-08-08 06:52:16,1,2412,-78,-33.409689,151.350346,17.070000,1.000000,,,WIFI
2C:E3:8E:A6:1E:80,"isg_fsap",[UNKNOWN],2026-08-08 06:52:16,1,2412,-79,-33.409689,151.350346,17.070000,1.000000,,,WIFI
54:25:EA:38:FF:48,"DODO-FF3F",[WPA_WPA2_PSK],2026-08-08 06:52:16,2,2417,-83,-33.409689,151.350346,17.070000,1.000000,,,WIFI
9C:DA:B7:D7:D1:41,"DBBGuest",[OPEN],2026-08-08 06:52:16,1,2412,-85,-33.409689,151.350346,17.070000,1.000000,,,WIFI
8A:78:48:EE:9F:F9,"Aruma_Guest",[WPA2_WPA3_PSK],2026-08-08 06:52:16,1,2412,-88,-33.409689,151.350346,17.070000,1.000000,,,WIFI
94:18:65:C7:09:08,"Telstra13F9",[WPA2_PSK],2026-08-08 06:52:16,11,2462,-88,-33.409689,151.350346,17.070000,1.000000,,,WIFI
44:15:24:66:1D:DE,"OPTUS_661DDCM",[WPA2_WPA3_PSK],2026-08-08 06:52:16,1,2412,-90,-33.409689,151.350346,17.070000,1.000000,,,WIFI
B0:39:56:C2:DE:66,"Telstra3572",[WPA2_PSK],2026-08-08 06:52:16,11,2462,-90,-33.409689,151.350346,17.070000,1.000000,,,WIFI
84:78:48:EE:F9:45,"ARUMA-CORP",[UNKNOWN],2026-08-08 06:52:16,1,2412,-91,-33.409689,151.350346,17.070000,1.000000,,,WIFI
2C:BC:BB:C0:00:DD,"OVMS",[WPA2_PSK],2026-08-08 06:52:16,1,2412,-91,-33.409689,151.350346,17.070000,1.000000,,,WIFI
66:33:F5:20:73:C6,"Jennifer's A55",[WPA2_PSK],2026-08-08 06:52:16,6,2437,-91,-33.409689,151.350346,17.070000,1.000000,,,WIFI
8A:78:48:EE:F9:45,"Aruma_Guest",[WPA2_WPA3_PSK],2026-08-08 06:52:16,1,2412,-92,-33.409689,151.350346,17.070000,1.000000,,,WIFI
84:78:48:EE:9F:F9,"ARUMA-CORP",[UNKNOWN],2026-08-08 06:52:16,1,2412,-92,-33.409689,151.350346,17.070000,1.000000,,,WIFI
3C:6A:D2:26:66:EE,"nbn",[WPA2_PSK],2026-08-08 06:52:16,5,2432,-94,-33.409689,151.350346,17.070000,1.000000,,,WIFI
D8:33:B7:08:7D:36,"WiFi-ZUGAK",[WPA2_WPA3_PSK],2026-08-08 06:52:24,11,2462,-79,-33.410527,151.350200,16.410000,1.000000,,,WIFI
D4:6B:A6:E6:C2:E8,"HG659-C2E0",[WPA_WPA2_PSK],2026-08-08 06:52:24,8,2447,-90,-33.410527,151.350200,16.410000,1.000000,,,WIFI
D6:82:A5:0D:7D:53,"BUPM",[WPA2_WPA3_PSK],2026-08-08 06:52:24,11,2462,-92,-33.410527,151.350200,16.410000,1.000000,,,WIFI
58:EF:68:00:AC:CA,"Telstra3572_Ext",[WPA2_PSK],2026-08-08 06:52:24,11,2462,-92,-33.410527,151.350200,16.410000,1.000000,,,WIFI
74:AC:B9:B1:6B:1A,"CCLO - HPD",[WPA2_PSK],2026-08-08 06:52:33,1,2412,-88,-33.411232,151.350032,15.990000,1.000000,,,WIFI
54:1F:8D:D2:33:8B,"OPTUS_D2338BZ",[WPA2_WPA3_PSK],2026-08-08 06:52:33,6,2437,-89,-33.411232,151.350032,15.990000,1.000000,,,WIFI
C0:56:27:8D:B5:B1,"Linksys Extender Setup",[OPEN],2026-08-08 06:52:33,11,2462,-89,-33.411232,151.350032,15.990000,1.000000,,,WIFI
A2:B5:3C:19:21:7E,"Telstra192176",[WPA2_PSK],2026-08-08 06:52:33,1,2412,-91,-33.411232,151.350032,15.990000,1.000000,,,WIFI
C8:99:B2:FB:70:3E,"TelstraFB703A",[WPA2_WPA3_PSK],2026-08-08 06:52:33,2,2417,-92,-33.411232,151.350032,15.990000,1.000000,,,WIFI
E0:B9:E5:A0:C7:B5,"TelstraA0C7B5",[WPA2_PSK],2026-08-08 06:52:33,11,2462,-96,-33.411232,151.350032,15.990000,1.000000,,,WIFI
B0:5B:99:3E:51:EC,"OPTUS_3E51EAM",[WPA2_WPA3_PSK],2026-08-08 06:52:41,1,2412,-63,-33.411712,151.349968,14.840000,1.000000,,,WIFI
60:22:32:F6:BB:A6,"Glennie Street",[WPA2_PSK],2026-08-08 06:52:41,11,2462,-80,-33.411712,151.349968,14.840000,1.000000,,,WIFI
DA:D8:E5:42:95:C7,"plsworkillbeagoodboyiswear",[OPEN],2026-08-08 06:52:41,11,2462,-81,-33.411712,151.349968,14.840000,1.000000,,,WIFI
D4:19:72:A0:A4:00,"BBSchools",[WPA2_ENTERPRISE],2026-08-08 06:52:41,11,2462,-85,-33.411712,151.349968,14.840000,1.000000,,,WIFI
D4:19:72:A0:A4:01,"DBBGuest",[OPEN],2026-08-08 06:52:41,11,2462,-85,-33.411712,151.349968,14.840000,1.000000,,,WIFI
D4:19:72:A0:A4:02,"BBEnrolment",[WPA2_ENTERPRISE],2026-08-08 06:52:41,11,2462,-85,-33.411712,151.349968,14.840000,1.000000,,,WIFI
6C:4F:89:53:19:19,"OPTUS_531918L",[WPA2_WPA3_PSK],2026-08-08 06:52:41,11,2462,-86,-33.411712,151.349968,14.840000,1.000000,,,WIFI
7A:AC:B9:B1:6B:1A,"CCLO - residential",[WPA2_PSK],2026-08-08 06:52:41,1,2412,-89,-33.411712,151.349968,14.840000,1.000000,,,WIFI
E4:38:83:26:63:D3,"E438832663D2",[WPA_WPA2_PSK],2026-08-08 06:52:41,1,2412,-90,-33.411712,151.349968,14.840000,1.000000,,,WIFI
60:22:32:F6:9F:E6,"Glennie Street",[WPA2_PSK],2026-08-08 06:52:41,11,2462,-90,-33.411712,151.349968,14.840000,1.000000,,,WIFI
0A:C7:F5:90:4B:F6,"Belong904BEE",[WPA2_PSK],2026-08-08 06:52:41,13,2472,-91,-33.411712,151.349968,14.840000,1.000000,,,WIFI
A2:7E:6D:24:76:8A,"HUAWEI_7624",[WPA2_PSK],2026-08-08 06:52:41,11,2462,-93,-33.411712,151.349968,14.840000,1.000000,,,WIFI
60:45:E8:90:8C:E9,"Telstra908CE5",[WPA_WPA2_PSK],2026-08-08 06:52:49,4,2427,-83,-33.412444,151.349791,15.450000,1.000000,,,WIFI
D6:21:F9:87:79:8A,"BBGuest",[WPA2_PSK],2026-08-08 06:52:49,1,2412,-87,-33.412444,151.349791,15.450000,1.000000,,,WIFI
D0:21:F9:87:79:8A,"BBStaff",[WPA2_ENTERPRISE],2026-08-08 06:52:49,1,2412,-89,-33.412444,151.349791,15.450000,1.000000,,,WIFI
DA:21:F9:87:79:8A,"BBAV",[WPA2_PSK],2026-08-08 06:52:49,1,2412,-89,-33.412444,151.349791,15.450000,1.000000,,,WIFI
6C:B0:CE:6D:EF:A4,"NETGEAR44",[WPA2_PSK],2026-08-08 06:52:49,6,2437,-89,-33.412444,151.349791,15.450000,1.000000,,,WIFI
EC:71:DB:03:91:B8,"REOLINK-HH6itnpeM1-2.4G",[WPA2_WPA3_PSK],2026-08-08 06:52:49,1,2412,-90,-33.412444,151.349791,15.450000,1.000000,,,WIFI
50:2C:C6:2B:BB:49,"c62bbb49",[WPA2_PSK],2026-08-08 06:52:49,1,2412,-90,-33.412444,151.349791,15.450000,1.000000,,,WIFI
3C:67:8C:D9:B8:A0,"DODO-B898",[WPA_WPA2_PSK],2026-08-08 06:52:49,6,2437,-90,-33.412444,151.349791,15.450000,1.000000,,,WIFI
82:AC:B9:B1:6B:1A,"Wycom Technology ",[WPA2_WPA3_PSK],2026-08-08 06:52:49,1,2412,-91,-33.412444,151.349791,15.450000,1.000000,,,WIFI
42:22:54:97:E8:87,"WiFi-97E886",[WPA2_PSK],2026-08-08 06:52:49,2,2417,-91,-33.412444,151.349791,15.450000,1.000000,,,WIFI
10:DA:43:F0:86:42,"Telstra1E27",[WPA2_PSK],2026-08-08 06:52:57,11,2462,-90,-33.412821,151.349733,17.830000,1.000000,,,WIFI
60:95:F8:5C:FB:B3,"OPTUS_5CFBB0N",[WPA2_WPA3_PSK],2026-08-08 06:52:57,1,2412,-91,-33.412821,151.349733,17.830000,1.000000,,,WIFI
BC:D5:ED:51:8D:22,"OPTUS_518D20M",[WPA2_WPA3_PSK],2026-08-08 06:53:05,6,2437,-83,-33.412821,151.349733,17.830000,0.800000,,,WIFI
24:4B:FE:38:84:30,"ASUS2",[WPA2_PSK],2026-08-08 06:53:05,4,2427,-90,-33.412821,151.349733,17.830000,0.800000,,,WIFI
98:DE:D0:6C:5E:34,"DODO-B898_EXT",[WPA_WPA2_PSK],2026-08-08 06:53:05,6,2437,-91,-33.412821,151.349733,17.830000,0.800000,,,WIFI
72:90:0A:98:40:6C,"OPTUS_F22BC0N",[WPA2_WPA3_PSK],2026-08-08 06:53:13,11,2462,-77,-33.412933,151.349710,17.740000,0.700000,,,WIFI
82:90:0A:5B:39:2F,"Telstra8DBF44",[WPA2_PSK],2026-08-08 06:53:13,3,2422,-78,-33.412933,151.349710,17.740000,0.700000,,,WIFI
66:CB:E9:A8:94:8B,"[LG_Washer]948b",[WPA2_PSK],2026-08-08 06:53:13,11,2462,-78,-33.412933,151.349710,17.740000,0.700000,,,WIFI
5C:4D:BF:9D:C3:47,"TPW4G_3nMrrv",[WPA2_PSK],2026-08-08 06:53:13,11,2462,-79,-33.412933,151.349710,17.740000,0.700000,,,WIFI
AC:B6:87:F2:2B:C3,"OPTUS_F22BC0N",[WPA2_WPA3_PSK],2026-08-08 06:53:13,11,2462,-83,-33.412933,151.349710,17.740000,0.700000,,,WIFI
DA:D8:E5:4E:B2:ED,"Belong4EB2E5",[WPA2_PSK],2026-08-08 06:53:13,1,2412,-91,-33.412933,151.349710,17.740000,0.700000,,,WIFI
